Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/bootstrap.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/bootstrap.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/bootstrap.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/inits,GET,com.nokia.eda.bootstrap.v1.InitList,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/managementrouters,GET,com.nokia.eda.bootstrap.v1.ManagementRouterList,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits,DELETE,com.nokia.eda.bootstrap.v1.InitList,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits,GET,com.nokia.eda.bootstrap.v1.InitList,init_list,true,true,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits,POST,com.nokia.eda.bootstrap.v1.Init,init,true,false,true
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits/_deleted,GET,com.nokia.eda.bootstrap.v1.Init_DeletedResources,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits/{name},DELETE,Status,init,true,false,true
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits/{name},GET,com.nokia.eda.bootstrap.v1.Init,init,true,true,true
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits/{name},PATCH,com.nokia.eda.bootstrap.v1.Init,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits/{name},PUT,com.nokia.eda.bootstrap.v1.Init,init,true,false,true
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/inits/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters,DELETE,com.nokia.eda.bootstrap.v1.ManagementRouterList,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters,GET,com.nokia.eda.bootstrap.v1.ManagementRouterList,management_router_list,true,true,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters,POST,com.nokia.eda.bootstrap.v1.ManagementRouter,management_router,true,false,true
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters/_deleted,GET,com.nokia.eda.bootstrap.v1.ManagementRouter_DeletedResources,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters/{name},DELETE,Status,management_router,true,false,true
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters/{name},GET,com.nokia.eda.bootstrap.v1.ManagementRouter,management_router,true,true,true
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters/{name},PATCH,com.nokia.eda.bootstrap.v1.ManagementRouter,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters/{name},PUT,com.nokia.eda.bootstrap.v1.ManagementRouter,management_router,true,false,true
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/managementrouters/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/satellites,GET,com.nokia.eda.bootstrap.v1.SatelliteList,satellite_list,true,true,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/satellites/{name},GET,com.nokia.eda.bootstrap.v1.Satellite,satellite,true,true,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/satellites/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/satellites/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/bootstrap.eda.nokia.com/v1/satellites,GET,com.nokia.eda.bootstrap.v1.SatelliteList,,false,false,false
/workflows/v1/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/rotatecertificates,GET,com.nokia.eda.bootstrap.v1.RotateCertificateList,rotate_certificate_list,true,true,false
/workflows/v1/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/rotatecertificates,POST,com.nokia.eda.bootstrap.v1.RotateCertificate,rotate_certificate,true,false,true
/workflows/v1/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/rotatecertificates/{name},DELETE,,rotate_certificate,true,false,true
/workflows/v1/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/rotatecertificates/{name},GET,com.nokia.eda.bootstrap.v1.RotateCertificate,rotate_certificate,true,true,true
/workflows/v1/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/rotatecertificates/{name}/_artifacts,GET,,,false,false,false
/workflows/v1/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/rotatecertificates/{name}/_artifacts/{artifact},GET,,,false,false,false
/workflows/v1/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/rotatecertificates/{name}/_input,GET,WorkflowGetInputsRespElem,workflow_get_inputs_resp_elem,true,true,false
/workflows/v1/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/rotatecertificates/{name}/_input,PUT,WorkflowInputData,,false,false,false
/workflows/v1/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/rotatecertificates/{name}/_logs,GET,,,false,false,false
/workflows/v1/bootstrap.eda.nokia.com/v1/namespaces/{namespace}/rotatecertificates/{name}/_terminate,PUT,,,false,false,false
/workflows/v1/bootstrap.eda.nokia.com/v1/rotatecertificates,GET,com.nokia.eda.bootstrap.v1.RotateCertificateList,,false,false,false
